02:42:00.932 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:42:00.932 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:42:01.148 INFO   com.company.GUI - Пользователь сделал ставку
02:42:01.149 INFO   com.company.GUI - Игрок под номером 2 сделал действие
02:42:01.149 INFO   com.company.GUI - Игрок под номером 3 сделал действие
02:42:01.150 INFO   com.company.GUI - Игрок под номером 4 сделал действие
02:42:01.150 INFO   com.company.GUI - Игрок под номером 5 сделал действие
02:42:01.196 INFO   com.company.GUI - Найден победитель
02:42:02.930 INFO   com.company.GUI - Пользователь проиграл
02:42:06.603 INFO   com.company.GUI - Выход из игры
