13:06:15.137 INFO   com.company.GUI - Пользователь сделал ставку
13:06:15.138 INFO   com.company.GUI - Игрок под номером 2 сделал действие
13:06:15.138 INFO   com.company.GUI - Игрок под номером 3 сделал действие
13:06:15.139 INFO   com.company.GUI - Игрок под номером 4 сделал действие
13:06:15.139 INFO   com.company.GUI - Игрок под номером 5 сделал действие
13:06:15.139 INFO   com.company.GUI - Игрок под номером 6 сделал действие
13:06:26.976 INFO   com.company.GUI - Начата загрузка игры
13:06:31.435 INFO   com.company.GUI - Пользователь сделал ставку
13:06:31.437 INFO   com.company.GUI - Игрок под номером 2 сделал действие
13:06:31.437 INFO   com.company.GUI - Игрок под номером 3 сделал действие
13:06:31.437 INFO   com.company.GUI - Игрок под номером 4 сделал действие
13:06:31.437 INFO   com.company.GUI - Игрок под номером 5 сделал действие
13:06:31.437 INFO   com.company.GUI - Игрок под номером 6 сделал действие
13:06:31.545 INFO   com.company.GUI - Найден победитель
